clave,claveJurisdiccion,descripcion
07001,0707,ACACOYAGUA
07002,0701,ACALA
07003,0707,ACAPETAHUA
07004,0709,ALTAMIRANO
07005,0705,AMATÁN
07006,0710,"AMATENANGO DE LA FRONTERA"
07007,0702,"AMATENANGO DEL VALLE"
07008,0704,"ANGEL ALBINO CORZO"
07009,0708,ARRIAGA
07010,0710,"BEJUCAL DE OCAMPO"
07011,0710,"BELLA VISTA"
07012,0701,BERRIOZÁBAL
07013,0705,BOCHIL
07014,0705,"EL BOSQUE"
07015,0707,CACAHOATÁN
07016,0706,CATAZAJÁ
07017,0701,CINTALAPA
07018,0701,COAPILLA
07019,0703,"COMITÁN DE DOMÍNGUEZ"
07020,0704,"LA CONCORDIA"
07021,0701,COPAINALÁ
07022,0702,CHALCHIHUITÁN
07023,0702,CHAMULA
07024,0702,CHANAL
07025,0705,CHAPULTENANGO
07026,0702,CHENALHÓ
07027,0701,"CHIAPA DE CORZO"
07028,0701,CHIAPILLA
07029,0701,CHICOASÉN
07030,0703,CHICOMUSELO
07031,0709,CHILÓN
07032,0707,ESCUINTLA
07033,0701,"FRANCISCO LEÓN"
07034,0703,"FRONTERA COMALAPA"
07035,0707,"FRONTERA HIDALGO"
07036,0710,"LA GRANDEZA"
07037,0707,HUEHUETÁN
07038,0702,HUIXTÁN
07039,0705,HUITIUPÁN
07040,0707,HUIXTLA
07041,0703,"LA INDEPENDENCIA"
07042,0705,IXHUATÁN
07043,0705,IXTACOMITÁN
07044,0701,IXTAPA
07045,0705,IXTAPANGAJOYA
07046,0701,JIQUIPILAS
07047,0705,JITOTOL
07048,0705,JUÁREZ
07049,0702,LARRÁINZAR
07050,0706,"LA LIBERTAD"
07051,0707,MAPASTEPEC
07052,0703,"LAS MARGARITAS"
07053,0710,"MAZAPA DE MADERO"
07054,0707,MAZATÁN
07055,0707,METAPA
07056,0702,MITONTIC
07057,0710,MOTOZINTLA
07058,0701,"NICOLÁS RUÍZ"
07059,0709,OCOSINGO
07060,0701,OCOTEPEC
07061,0701,"OCOZOCOAUTLA DE ESPINOSA"
07062,0705,OSTUACÁN
07063,0701,OSUMACINTA
07064,0702,OXCHUC
07065,0706,PALENQUE
07066,0702,PANTELHÓ
07067,0705,PANTEPEC
07068,0705,PICHUCALCO
07069,0708,PIJIJIAPAN
07070,0710,"EL PORVENIR"
07071,0707,"VILLA COMALTITLÁN"
07072,0705,"PUEBLO NUEVO SOLISTAHUACÁN"
07073,0705,RAYÓN
07074,0705,REFORMA
07075,0702,"LAS ROSAS"
07076,0706,SABANILLA
07077,0706,"SALTO DE AGUA"
07078,0702,"SAN CRISTÓBAL DE LAS CASAS"
07079,0701,"SAN FERNANDO"
07080,0710,SILTEPEC
07081,0705,SIMOJOVEL
07082,0709,SITALÁ
07083,0703,SOCOLTENANGO
07084,0705,SOLOSUCHIAPA
07085,0701,SOYALÓ
07086,0701,SUCHIAPA
07087,0707,SUCHIATE
07088,0705,SUNUAPA
07089,0707,TAPACHULA
07090,0705,TAPALAPA
07091,0705,TAPILULA
07092,0701,TECPATÁN
07093,0702,TENEJAPA
07094,0702,TEOPISCA
07096,0706,TILA
07097,0708,TONALÁ
07098,0701,TOTOLAPA
07099,0703,"LA TRINITARIA"
07100,0706,TUMBALÁ
07101,0701,"TUXTLA GUTIÉRREZ"
07102,0707,"TUXTLA CHICO"
07103,0707,TUZANTÁN
07104,0703,TZIMOL
07105,0707,"UNIÓN JUÁREZ"
07106,0701,"VENUSTIANO CARRANZA"
07107,0704,"VILLA CORZO"
07108,0704,VILLAFLORES
07109,0706,YAJALÓN
07110,0701,"SAN LUCAS"
07111,0702,ZINACANTÁN
07112,0702,"SAN JUAN CANCUC"
07113,0702,ALDAMA
07114,0706,"BENEMÉRITO DE LAS AMÉRICAS"
07115,0703,"MARAVILLA TENEJAPA"
07116,0706,"MARQUÉS DE COMILLAS"
07117,0704,"MONTECRISTO DE GUERRERO"
07118,0705,"SAN ANDRÉS DURAZNAL"
07119,0702,"SANTIAGO EL PINAR"
